id,ACTION
1,0.181580903677508
2,0.7995246916711192
3,0.7872768753355052
4,0.4375428496702789
5,0.9042653882747684
6,0.8820340394500882
7,0.6630067202636188
8,0.6145405531738786
9,0.4013628123756231
10,0.5189020947898374
11,0.49086912087490797
12,0.5480596173741679
13,0.2789663591051858
14,0.3195720319316935
15,0.7043810153438566
16,0.7388071281109987
17,0.5232446834724576
18,0.4013913742990121
19,0.6255709613914228
20,0.48605349181861485
21,0.47805042511274004
22,0.8978130207562482
23,0.30637296046361895
24,0.48296832254998845
25,0.43216452133151884
26,0.5662374638871901
27,0.620514961840512
28,0.01670870229593672
29,0.688738293460146
30,0.39704049516674983
31,0.6461124513834131
32,0.44979237269035327
33,0.3412086641843233
34,0.6584538977627439
35,0.6009711969804206
36,0.8448539292623864
37,0.708650297487849
38,0.42489219105136183
39,0.5340445317352291
40,0.45757970453392127
41,0.44430802482426657
42,0.8844179516344417
43,0.6075390155693818
44,0.6574207460490177
45,0.3662561387668332
46,0.37751152377085556
47,0.9543959172020914
48,0.6131803651647127
49,0.7679170879014611
50,0.6212563932754451
51,0.6704669504328152
52,0.6471506857163908
53,0.6327977878110996
54,0.7479679137861137
55,0.5383793932992864
56,0.19290013049640778
57,0.6416844655240671
58,0.9787797637382497
59,0.6999587614486252
60,0.8083291393876465
61,0.4011371778765216
62,0.37500329889033784
63,0.72759293536981
64,0.6707239841023575
65,0.6737238035564376
66,0.6646941467801408
67,0.48872611487518347
68,0.6978084691597833
69,0.4830865713251288
70,0.3419789294233915
71,0.5004429538893311
72,0.606073035007527
73,0.5002549119282219
74,0.6310443530155662
75,0.7932274589287641
76,0.9673942150068032
77,0.6829720696695937
78,0.5569711727561427
79,0.31776239132844075
80,0.5200574819712203
81,0.5648183161404927
82,0.46653137781353826
83,0.6032696198783453
84,0.7685942317587241
85,0.48389440982580745
86,0.22355489172491214
87,0.38515164266886154
88,0.48290465582297976
89,0.5288401511631499
90,0.3108359383619808
91,0.5539438509769702
92,0.6889725213567351
93,0.9443340777114815
94,0.3411030543484223
95,0.5429010808204529
96,0.3049781981392769
97,0.33477708869376055
98,0.3964981860883934
99,0.746820544853812
100,0.45732402292502394
101,0.5144673709088176
102,0.39131330473106773
103,0.45678216730351057
104,0.45718573332880685
105,0.40613270744072394
106,0.8526973237839789
107,0.8301091299619081
